Tanggal,Transaksi ID,Kolak Pisang,Martabak Telur,Gemblong,Ketan,Lontong Sayur,Pastel telur,Onde-Onde,Risol Kampung,Bihun,Lontong Oncom,Nasi Kuning,Gado - gado betawi,Donat kentang ,Salad Buah,Asinan Buah,Tahu Isi,Mendoan ,Risoles Smoked Beef,Risoles Ayam,Risoles Mayo
6/21/2024,418,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2024,419,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2024,420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2024,421,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2024,422,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,423,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,424,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,425,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,426,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,427,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,428,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,429,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,430,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,431,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,432,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,433,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,434,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/21/2024,435,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2024,436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6/21/2024,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6/21/2024,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6/21/2024,439,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6/23/2024,440,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,441,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,442,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,443,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,444,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,445,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,446,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,447,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,448,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,449,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,450,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,451,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,452,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,453,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,454,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,455,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,456,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,457,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,458,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
6/23/2024,459,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
6/23/2024,460,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
6/23/2024,461,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6/23/2024,462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6/23/2024,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6/23/2024,464,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
6/23/2024,465,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,466,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,467,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/23/2024,468,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6/23/2024,469,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6/23/2024,470,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,471,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,472,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,473,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/23/2024,474,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6/23/2024,475,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
6/23/2024,476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,478,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/23/2024,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6/23/2024,483,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
6/23/2024,484,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/23/2024,485,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/23/2024,486,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
6/23/2024,487,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
6/23/2024,488,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,489,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,490,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,491,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6/24/2024,492,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/24/2024,493,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6/24/2024,494,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,495,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,496,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,497,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/24/2024,498,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/24/2024,499,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/24/2024,500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/24/2024,501,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/24/2024,502,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/26/2024,503,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/26/2024,504,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6/26/2024,505,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,506,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,507,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,508,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,509,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,510,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/26/2024,511,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
6/26/2024,512,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6/26/2024,513,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6/26/2024,514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6/26/2024,515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
6/26/2024,516,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/28/2024,517,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,518,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,519,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,520,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,521,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,522,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,523,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/28/2024,524,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6/28/2024,525,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
6/28/2024,526,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/28/2024,527,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,528,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
6/28/2024,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6/28/2024,542,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
6/28/2024,543,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
6/28/2024,544,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6/28/2024,545,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/28/2024,546,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,547,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,548,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,549,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6/28/2024,550,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6/28/2024,551,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6/28/2024,552,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,553,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,554,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2024,555,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,556,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,557,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,558,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,559,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,560,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,561,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,562,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,563,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,564,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,565,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,566,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,567,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,568,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,569,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,570,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,571,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,572,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,573,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,574,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6/29/2024,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6/29/2024,577,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
6/29/2024,578,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6/29/2024,579,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6/29/2024,580,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/29/2024,581,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/29/2024,582,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
6/29/2024,583,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
6/29/2024,584,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6/29/2024,585,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6/29/2024,586,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6/29/2024,587,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6/29/2024,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6/29/2024,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6/29/2024,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6/29/2024,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6/29/2024,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
6/29/2024,593,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
6/29/2024,594,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
6/29/2024,595,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
6/29/2024,596,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
6/30/2024,597,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0
6/30/2024,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6/30/2024,599,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
6/30/2024,600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6/30/2024,601,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
6/30/2024,602,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6/30/2024,603,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6/30/2024,604,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6/30/2024,605,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
6/30/2024,606,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6/30/2024,607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6/30/2024,608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6/30/2024,609,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6/30/2024,610,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,611,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,612,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,613,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,614,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,615,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,616,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,617,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,619,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,620,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,621,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,622,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2024,623,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
6/30/2024,624,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6/30/2024,625,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
6/30/2024,626,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
